gid,jud_code,jud_id,jud_lbl,jud_name,colsen,nume,prezenta,rebel,id_partid,partid,abv_partid
100,OT,30.0000000000,OLT,JUDE?ÜUL OLT,1,Mihai Ni?¢?â,78.4700000000,2.7100000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
101,OT,30.0000000000,OLT,JUDE?ÜUL OLT,2,Ion Toma,30.8800000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
102,OT,30.0000000000,OLT,JUDE?ÜUL OLT,3,Dan ?ÿova,32.5100000000,4.0800000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
103,PH,31.0000000000,PRAHOVA,JUDE?ÜUL PRAHOVA,1,Georgic?â Severin,71.7900000000,6.6100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
104,PH,31.0000000000,PRAHOVA,JUDE?ÜUL PRAHOVA,2,Iulian B?âdescu,49.0700000000,14.9400000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
105,PH,31.0000000000,PRAHOVA,JUDE?ÜUL PRAHOVA,3,Teodor Mele?ƒcanu,53.8400000000,2.8000000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
106,PH,31.0000000000,PRAHOVA,JUDE?ÜUL PRAHOVA,4,Sorin Serioja Chivu,56.2300000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
107,PH,31.0000000000,PRAHOVA,JUDE?ÜUL PRAHOVA,5,Daniel Savu,49.8300000000,4.5300000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
108,SB,34.0000000000,SIBIU,JUDE?ÜUL SIBIU,1,Ion Ariton,39.8600000000,1.5300000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
109,SB,34.0000000000,SIBIU,JUDE?ÜUL SIBIU,2,Viorel Arca?ƒ,77.6600000000,3.7200000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
110,SB,34.0000000000,SIBIU,JUDE?ÜUL SIBIU,3,Minerva Boitan,62.2900000000,3.0400000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
111,SJ,33.0000000000,S?éLAJ,JUDE?ÜUL S?éLAJ,1,Szab?? Andras Levente Fekete,74.5600000000,0.7600000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
112,SJ,33.0000000000,S?éLAJ,JUDE?ÜUL S?éLAJ,2,Gheorghe Pop,81.7200000000,3.2900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
113,SM,32.0000000000,SATU MARE,JUDE?ÜUL SATU MARE,1,Valer Marian,82.6700000000,2.4600000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
114,SM,32.0000000000,SATU MARE,JUDE?ÜUL SATU MARE,2,Tiberiu Gunthner,79.6700000000,3.2100000000,38.0000000000,UNIUNEA DEMOCRAT?é MAGHIAR?é DIN ROM?éNIA,UDMR
115,SV,35.0000000000,SUCEAVA,JUDE?ÜUL SUCEAVA,1,Sorin Fodoreanu,90.0700000000,0.3500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
116,SV,35.0000000000,SUCEAVA,JUDE?ÜUL SUCEAVA,2,Orest Onofrei,58.2300000000,2.2300000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
117,SV,35.0000000000,SUCEAVA,JUDE?ÜUL SUCEAVA,3,Gavril Mirza,65.9700000000,5.1600000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
118,SV,35.0000000000,SUCEAVA,JUDE?ÜUL SUCEAVA,4,Tiberiu Aurelian Prodan,55.9900000000,2.5900000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
119,TL,38.0000000000,TULCEA,JUDE?ÜUL TULCEA,1,Ion Bara,89.0200000000,1.5100000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
120,TL,38.0000000000,TULCEA,JUDE?ÜUL TULCEA,2,Trifon Belacurencu,86.3000000000,3.5500000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
121,TM,37.0000000000,TIMI?ÿ,JUDE?ÜUL TIMI?ÿ,1,Gheorghe David,98.6600000000,1.7800000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
122,TM,37.0000000000,TIMI?ÿ,JUDE?ÜUL TIMI?ÿ,2,Nicolae Robu,63.0500000000,1.9500000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
123,TM,37.0000000000,TIMI?ÿ,JUDE?ÜUL TIMI?ÿ,3,Dorel Borza,93.3200000000,0.8500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
124,TM,37.0000000000,TIMI?ÿ,JUDE?ÜUL TIMI?ÿ,4,Ilie S?órbu,57.4200000000,1.1100000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
125,TR,36.0000000000,TELEORMAN,JUDE?ÜUL TELEORMAN,1,Petru ??erban Mih?âilescu,48.1100000000,0.0000000000,999.0000000000,CANDIDAT INDEPENDENT,CI
126,TR,36.0000000000,TELEORMAN,JUDE?ÜUL TELEORMAN,2,Romeo Florin Nicoara,67.6400000000,1.8500000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
127,TR,36.0000000000,TELEORMAN,JUDE?ÜUL TELEORMAN,3,Alexandru Mocanu,83.1500000000,1.5200000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
128,VL,40.0000000000,V?éLCEA,JUDE?ÜUL V?éLCEA,1,Laurentiu Florian Coca,75.0400000000,1.3700000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
129,VL,40.0000000000,V?éLCEA,JUDE?ÜUL V?éLCEA,2,Emilian Valentin Fr?óncu,82.2900000000,0.6300000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
130,VL,40.0000000000,V?éLCEA,JUDE?ÜUL V?éLCEA,3,Dorel Jurcan,67.9700000000,0.9500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
131,VN,41.0000000000,VRANCEA,JUDE?ÜUL VRANCEA,1,Sorina Lumini?¢a Pl?âcint?â,41.7200000000,2.0100000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
132,VN,41.0000000000,VRANCEA,JUDE?ÜUL VRANCEA,2,Miron Mitrea,36.8000000000,12.5900000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
133,VS,39.0000000000,VASLUI,JUDE?ÜUL VASLUI,1,Doina Silistru,84.4900000000,3.8700000000,61.0000000000,PARTIDUL SOCIAL DEMOCRAT,PSD
134,VS,39.0000000000,VASLUI,JUDE?ÜUL VASLUI,2,Vasile Pintilie,73.8400000000,1.2500000000,15.0000000000,PARTIDUL DEMOCRAT LIBERAL,PDL
135,VS,39.0000000000,VASLUI,JUDE?ÜUL VASLUI,3,Cristian David,36.9000000000,0.9700000000,31.0000000000,PARTIDUL NA?ÜIONAL LIBERAL,PNL
